Nom;Type;Plateforme;Tag;IsTermine
NBA 2K14;Jeu vidéo;PS4;;true
Sekiro Shadows Die Twice;Jeu vidéo;PS4;;true
Céleste;Jeu vidéo;PS4;;true
God of War;Jeu vidéo;PS4;;true
Final Fantasy X / X-2 HD Remaster;Jeu vidéo;PS3;;true
White Knight Chronicles II;Jeu vidéo;PS3;;true
FIFA 14;Jeu vidéo;PS3;;true
Dynasty Warriors : Strikeforce;Jeu vidéo;PS3;;true
007 Legends;Jeu vidéo;Wii U;;true
Monster Hunter Tri;Jeu vidéo;Wii;;true
Nioh Collection;Jeu vidéo;PS5;;true
Demon's Souls;Jeu vidéo;PS5;;true
Cadence of Hyrule : Crypt of the NecroDancer feat. The Legend of Zelda;Jeu vidéo;Switch;;true
Sea of Stars;Jeu vidéo;PS5;;
Death Stranding Director's Cut;Jeu vidéo;PS5;;
God of War Ragnarok;Jeu vidéo;PS5;;
Final Fantasy Pixel Remaster;Jeu vidéo;PS4;;
Dark Souls;Jeu vidéo;PS3;;
Dark Soulls 2 Vanilla;Jeu vidéo;PS3;;
Sonic X Shadow Generations;Jeu vidéo;PS5;;
Red Dead Redemption;Jeu vidéo;PS4;;
Red Dead Redemption 2;Jeu vidéo;PS4;;
Final Fantasy 16;Jeu vidéo;PS5;;
Xenoblade Chronicles X Definitive Edition;Jeu vidéo;Switch;;
The Legend of Zelda : Echoes of Wisdom;Jeu vidéo;Switch;;
Paper Mario : La Porte Millénaire;Jeu vidéo;Switch;;
Kingdom Hearts Melody of Memory;Jeu vidéo;PS4;;
Sonic Frontiers;Jeu vidéo;PS4;;
Gotham Knights;Jeu vidéo;PS5;;
Okami HD;Jeu vidéo;PS4;;
Kingdom Hearts 1.5 + 2.5 ReMix;Jeu vidéo;PS4;;
Lord of the Fallen;Jeu vidéo;PS5;;
Suikoden I & II HD Remaster;Jeu vidéo;PS5;;
The Messenger;Jeu vidéo;PS5;;
Black Myth Wukong;Jeu vidéo;PS5;;
Castlevania Dominus Collection;Jeu vidéo;PS5;;
God of War III Remastered;Jeu vidéo;PS4;;
Clair Obscur : Expedition 33;Jeu vidéo;PS5;;
Nintendo World Championships : NES Edition;Jeu vidéo;Switch;;true
The Legend of Zelda : Link's Awakening;Jeu vidéo;Switch;;
The Legend of Zelda : Skyward Sword HD;Jeu vidéo;Switch;;true
007 Legends;Jeu vidéo;PS3;;true
